VEHICULO;ANIO;CONTRATO;CLIENTE
FORD F-100;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FALCON RURAL;1982;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F100;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500 RURAL;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FALCON;1983;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW POLO;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ESCORT;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT BOXER;2002;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW GACEL;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE;1965;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 505 SR;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD COURRIER;2001;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
HYUNDAI H100;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT TRAFFIC;1996;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1985;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ESCORT;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW COUNTRY;2004;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
HYUNDAI ATOS;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1982;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 504;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500;1971;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT SPAZIO;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW SENDA;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1975;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P 504;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW TRANSPORTER;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
TORINO;1978;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW GACEL;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 19 RE;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R21 GTX;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1965;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD COURRIER;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT DUCATO;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET C-10;1985;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1986;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DATSUN;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD TAUNUS;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 12 L;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 12 BR.;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 19;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT128;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 18;1990;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ESCORT;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
IKA TORINO;1984;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD TAUNUS;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW 1500 STD;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 405 SR;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUG.PARTNER;2000;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 9;1996;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 11 GTL;1989;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
MITS L200;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P206 HDI ;2006;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
NEW BEETLE;2000;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FIESTA;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT SPAZIO;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT CLIO;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW GACEL GS;1991;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
F/100;1964;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
TRANSIT;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
TRANSIT;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW SENADA;1994;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P 505 SR;1985;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
GMC CHEVETTE;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1982;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FALCON ;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGOET 504;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW SENDA DIESEL;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FIESTA;2004;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P 505;1991;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW SENDA;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET SILVERADO;1978;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE D-200;1970;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW GACEL;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD SIERRA;1989;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RASTROJERO;1973;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100 DIESEL;1991;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1989;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 19 RN;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 504 GRD;1994;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ;1964;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R.TRAFFIC;1994;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 12 TL;1985;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 19 RN ;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 12  ;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET;1967;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1973;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET C10;1973;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 6;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW 1500;1986;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW 211;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD;1964;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RASTROJERO;1978;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FALCON RANCHERO;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT TRAFFIC;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET C-10;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 205 XS;1994;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE PÒLARA;1969;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R KANGOO;2000;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DAKOTA;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEV CORSA;2004;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P.505 SR;1986;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT REGATTA;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P 504;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLERT MONZA;1996;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
TOYOTA HI;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CITROEN AZAM;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD RANCHERO;1991;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD TAUNUS;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1969;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT DUNA;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 18;1986;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R TRAFFIC;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD COURRIER;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET C10;1978;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R EXPRESS;1996;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
NISSAN GD;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R KANGOO;2005;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F100;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW SAVEIRO;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RASTROJERO;1970;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-150 D;82;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW SENDA D;95;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD ESCORT GHIA 1.6;90;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD F 100 STD D;88;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW GOL COUNTRY 1.6 TRENDLINE;05;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 206 XRD 1.9 5 PTAS FULL (PR;03;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 12 TL;85;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT UNO FIRE 1.3 3 PTAS;04;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD ESCORT GHIA SX 1.6;93;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT REGATTA 2000;89;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW POLO CLASSIC 1.6 MI;06;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 11 TSE;92;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT MEGANE F/2 RT 5 P;98;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 405 1.6 GL;95;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT PICK-UP 504 GD;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
CHEVROLET PICK-UP S10 2.5 TD;97;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 19 RN 4 PTAS (RNI);94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT 147 SPAZIO TR;90;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 405 1.9 GR TC;95;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD FOCUS LN 1.8 GHIA 4 P TD EXE;09;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 12 TL;92;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
BMW 325I SEDAN ACTIVE;02;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW GOL GL 1.6 3 PTAS;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
CHEVROLET ASTRA GL 2.0 4 PTAS TD;01;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT 147 SPAZIO TRD;88;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT LOGAN 1.6 LUXE;08;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 11 TL;85;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT UNO SCV 1.5 3 PTAS;91;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW SENDA NAFTA;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD FIESTA 1.6 4 PTAS MAX AMBIENTE;06;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 504 GR II;83;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
CHEVROLET PICK-UP S10 2.8 TDI;05;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT SIENA ELX 1.7 TD L/N AA;01;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 12;81;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT PALIO HLX 1.8 5 PTAS;05;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW GOL GL 1.6 3 PTAS;93;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT PALIO S 1.6 3 PTAS;99;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD KA 1.3 PLUS AA;99;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 12;77;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW SENDA NAFTA;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT DUNA SDR 1.7;95;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT MEGANE F/2 RXE 5 PTAS (1.6);05;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT KANGOO RN 1.6 PK AB;99;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT 147 SPAZIO TRD;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
MITSUBISHI MONTERO GLS 2.8 TDI C/TE;99;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT VIVACE;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 206 X-LINE 1.4 5 PTAS;07;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT 147 SPAZIO TRD;89;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 9 RL;95;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 19 RND 5 PTAS (BIC);94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 504 XSD TC AA DH;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 9 RN A/A;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FORD KA 1.6 ACTION;05;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT KANGOO RL 1.6 AUTHENTIQUE 1;04;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 11 TS;92;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 9 GTL A/A;93;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
SUZUKI FUN 1.4 3 PTAS L/N;08;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
VW GOL GL 1.6 3 PTAS AA;94;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
FIAT PALIO HLX 1.8 3 PTAS;04;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
RENAULT 12 TL;93;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
PEUGEOT 505 SR FULL;93;LA SEGUNDA /// PRESTACION BASICA;SEGUNDA
R11 TS;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT 128 BERLINA;1984;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RSATROJERO P-63;1968;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
M BENZ 180 D;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
